"phibase_id","uniprot_a","ensembl_a","taxid_species_a","organism_a","taxid_strain_a","strain_a","uniprot_matches_a","modification_a","uniprot_b","ensembl_b","taxid_species_b","organism_b","taxid_strain_b","strain_b","uniprot_matches_b","modification_b","phenotype","disease","host_tissue","evidence_code","interaction_type","pmid","high_level_terms"
"PHI:2687","P0A1R0",,28901,"Salmonella enterica",90371,"subsp. enterica serovar Typhimurium strain ATCC 14028s","none","gene deletion: full",,,10090,"Mus musculus",,"BALB/c","none",,"PHIPO:0000015","PHIDO:0000152","BTO:0000759; BTO:0001281","gene complementation","interspecies interaction",19229334,"Reduced virulence"
"PHI:2688","Q3BQL2",,339,"Xanthomonas campestris",316273,"pv. vesicatoria strain 85-10","strain","gene deletion: full",,,4072,"Capsicum annuum",,"cv. Early Calwonder","none",,"PHIPO:0000004",,"BTO:0000713",,"interspecies interaction",23359647,"Unaffected pathogenicity"
"PHI:2689","Q6E9X8",,1639,"Listeria monocytogenes",393132,"LO28","none","gene deletion: full",,,10090,"Mus musculus",,"KI E16P","none",,"PHIPO:0000015","PHIDO:0000219","BTO:0000269; BTO:0000648; BTO:0000759; BTO:0000767; BTO:0001281","gene complementation","interspecies interaction",23382675,"Reduced virulence"
"PHI:2690","P08191",,562,"Escherichia coli",591946,"LF82","none","gene mutation: characterised",,,10090,"Mus musculus",,"FVB/N; CEABAC10","none",,"PHIPO:0000015","PHIDO:0000099","BTO:0000545",,"interspecies interaction",23358328,"Reduced virulence"
"PHI:2691","Q6FUI3",,5478,"Candida glabrata",284593,"CBS 138","strain","gene deletion: full",,,10090,"Mus musculus",,"BALB/c","none",,"PHIPO:0000015","PHIDO:0000120","BTO:0000671; BTO:0001281","gene complementation","interspecies interaction",23382685,"Reduced virulence"
"PHI:2692","E0W547",,67593,"Phytophthora sojae",,,"none","gene mutation: characterised",,,3847,"Glycine max",,,"none",,"PHIPO:0000280","PHIDO:0000341","BTO:0001188",,"interspecies interaction",23075041,"Effector"
"PHI:2693","F0XP73",,226899,"Leptographium clavigerum",655863,"kw1407","strain","gene deletion: full",,,3339,"Pinus contorta",,,"none",,"PHIPO:0000015; PHIPO:0000410",,"BTO:0001461",,"interspecies interaction",23252416,"Reduced virulence"
"PHI:2694","Q6D000",,29471,"Pectobacterium atrosepticum",218491,"SCRI 1043","strain","gene deletion: full",,,4113,"Solanum tuberosum",,"cv. Maris Piper","none",,"PHIPO:0000010","PHIDO:0000051; PHIDO:0000319","BTO:0001400","gene complementation","interspecies interaction",23113713,"Loss of pathogenicity"
"PHI:2695","Q6CZA0",,29471,"Pectobacterium atrosepticum",218491,"SCRI 1043","strain","gene mutation",,,4113,"Solanum tuberosum",,"cv. Maris Piper","none",,"PHIPO:0000015","PHIDO:0000051; PHIDO:0000319","BTO:0001400",,"interspecies interaction",23113713,"Reduced virulence"
"PHI:2696","I1VGT7",,914237,"Rhynchosporium commune",,"UK7","none","gene disruption",,,4513,"Hordeum vulgare",,"cv. Ingrid","none",,"PHIPO:0000280","PHIDO:0000038","BTO:0000713",,"interspecies interaction",22712509,"Effector"
"PHI:2697","I1VGT8",,914237,"Rhynchosporium commune",,"UK7","none","gene disruption",,,4513,"Hordeum vulgare",,"cv. Ingrid","none",,"PHIPO:0000280","PHIDO:0000038","BTO:0000713",,"interspecies interaction",22712509,"Effector"
"PHI:2698","Q02039",,914237,"Rhynchosporium commune",,"UK7","none","gene disruption",,,4513,"Hordeum vulgare",,"cv. Ingrid","none",,"PHIPO:0000280","PHIDO:0000038","BTO:0000713",,"interspecies interaction",22712509,"Effector"
"PHI:2696","I1VGT7",,914237,"Rhynchosporium commune",,"UK7","none","gene disruption",,,4513,"Hordeum vulgare",,"cv. Atlas","none",,"PHIPO:0000280","PHIDO:0000038","BTO:0000713",,"interspecies interaction",22712509,"Effector"
"PHI:2697","I1VGT8",,914237,"Rhynchosporium commune",,"UK7","none","gene disruption",,,4513,"Hordeum vulgare",,"cv. Atlas","none",,"PHIPO:0000280","PHIDO:0000038","BTO:0000713",,"interspecies interaction",22712509,"Effector"
"PHI:2698","Q02039",,914237,"Rhynchosporium commune",,"UK7","none","gene disruption",,,4513,"Hordeum vulgare",,"cv. Atlas","none",,"PHIPO:0000280","PHIDO:0000038","BTO:0000713",,"interspecies interaction",22712509,"Effector"
"PHI:2696","I1VGT7",,914237,"Rhynchosporium commune",,"UK7","none","gene disruption",,,4513,"Hordeum vulgare",,"cv. Atlas 46","none",,"PHIPO:0000280","PHIDO:0000038","BTO:0000713",,"interspecies interaction",22712509,"Effector"
"PHI:2697","I1VGT8",,914237,"Rhynchosporium commune",,"UK7","none","gene disruption",,,4513,"Hordeum vulgare",,"cv. Atlas 46","none",,"PHIPO:0000280","PHIDO:0000038","BTO:0000713",,"interspecies interaction",22712509,"Effector"
"PHI:2698","Q02039",,914237,"Rhynchosporium commune",,"UK7","none","gene disruption",,,4513,"Hordeum vulgare",,"cv. Atlas 46","none",,"PHIPO:0000280","PHIDO:0000038","BTO:0000713",,"interspecies interaction",22712509,"Effector"
"PHI:2696","I1VGT7",,914237,"Rhynchosporium commune",,"UK7","none","gene disruption",,,4513,"Hordeum vulgare",,"cv. Turk","none",,"PHIPO:0000280","PHIDO:0000038","BTO:0000713",,"interspecies interaction",22712509,"Effector"
"PHI:2697","I1VGT8",,914237,"Rhynchosporium commune",,"UK7","none","gene disruption",,,4513,"Hordeum vulgare",,"cv. Turk","none",,"PHIPO:0000280","PHIDO:0000038","BTO:0000713",,"interspecies interaction",22712509,"Effector"
"PHI:2698","Q02039",,914237,"Rhynchosporium commune",,"UK7","none","gene disruption",,,4513,"Hordeum vulgare",,"cv. Turk","none",,"PHIPO:0000280","PHIDO:0000038","BTO:0000713",,"interspecies interaction",22712509,"Effector"
"PHI:2699","Q8PPR7",,346,"Xanthomonas citri",1203463,"subsp. citri strain 306","none","gene mutation: characterised",,,2708,"Citrus x limon",,"cv. Eureka","none",,"PHIPO:0000010",,"BTO:0000713","gene complementation","interspecies interaction",22738424,"Loss of pathogenicity"
"PHI:2699","Q8PPR7",,346,"Xanthomonas citri",1203463,"subsp. citri strain 306","none","gene mutation: characterised",,,37656,"Citrus x paradisi",,"cv. Macfadyen","none",,"PHIPO:0000010",,"BTO:0000713","gene complementation","interspecies interaction",22738424,"Loss of pathogenicity"
"PHI:2700","J7MF98",,5465,"Colletotrichum orbiculare",,"104-T","none","gene disruption",,,3659,"Cucumis sativus",,"cv. Suyo","none",,"PHIPO:0000015; PHIPO:0000355; PHIPO:0000954; PHIPO:0000030; PHIPO:0000956",,"BTO:0000300",,"interspecies interaction",22934563,"Reduced virulence"
"PHI:2701","Q8PQN7",,53413,"Xanthomonas axonopodis",,"pv. citri","none","gene deletion: full",,,2711,"Citrus sinensis",,"cv. Valencia","none",,"PHIPO:0000280",,"BTO:0000713","gene complementation","interspecies interaction",22435635,"Effector"
"PHI:2702","Q8PHM7",,53413,"Xanthomonas axonopodis",,"pv. citri","none","gene deletion: full",,,2711,"Citrus sinensis",,"cv. Valencia","none",,"PHIPO:0000280",,"BTO:0000713","gene complementation","interspecies interaction",22435635,"Effector"
"PHI:2703","Q8PI08",,53413,"Xanthomonas axonopodis",,"pv. citri","none","gene deletion: full",,,2711,"Citrus sinensis",,"cv. Valencia","none",,"PHIPO:0000280",,"BTO:0000713","gene complementation","interspecies interaction",22435635,"Effector"
"PHI:2704","F6MFB4",,5518,"Fusarium graminearum",229533,"PH-1","none","gene disruption",,,4565,"Triticum aestivum",,"cv. Norm","none",,"PHIPO:0000015","PHIDO:0000163","BTO:0002119",,"interspecies interaction",22835271,"Reduced virulence"
"PHI:2705","C9Z5Q5",,1930,"Streptomyces scabiei",680198,87.22,"strain","gene deletion: full",,,4113,"Solanum tuberosum",,"cv. Chippewa","none",,"PHIPO:0000004; PHIPO:0000052",,"BTO:0001400","gene complementation","interspecies interaction",23009676,"Unaffected pathogenicity"
"PHI:2706","C9Z5Q6",,1930,"Streptomyces scabiei",680198,87.22,"strain","gene deletion: full",,,4113,"Solanum tuberosum",,"cv. Chippewa","none",,"PHIPO:0000004; PHIPO:0000052",,"BTO:0001400","gene complementation","interspecies interaction",23009676,"Unaffected pathogenicity"
"PHI:2707","C9Z5Q1",,1930,"Streptomyces scabiei",680198,87.22,"strain","gene deletion: full",,,4113,"Solanum tuberosum",,"cv. Chippewa","none",,"PHIPO:0000004; PHIPO:0000051",,"BTO:0001400","gene complementation","interspecies interaction",23009676,"Unaffected pathogenicity"
"PHI:2708","C9Z5Q3",,1930,"Streptomyces scabiei",680198,87.22,"strain","gene deletion: full",,,4113,"Solanum tuberosum",,"cv. Chippewa","none",,"PHIPO:0000004; PHIPO:0000059",,"BTO:0001400","gene complementation","interspecies interaction",23009676,"Unaffected pathogenicity"
"PHI:2705","C9Z5Q5",,1930,"Streptomyces scabiei",680198,87.22,"strain","gene deletion: full",,,4097,"Nicotiana tabacum",,,"none",,"PHIPO:0000004; PHIPO:0000052",,"BTO:0001228","gene complementation","interspecies interaction",23009676,"Unaffected pathogenicity"
"PHI:2706","C9Z5Q6",,1930,"Streptomyces scabiei",680198,87.22,"strain","gene deletion: full",,,4097,"Nicotiana tabacum",,,"none",,"PHIPO:0000004; PHIPO:0000052",,"BTO:0001228","gene complementation","interspecies interaction",23009676,"Unaffected pathogenicity"
"PHI:2707","C9Z5Q1",,1930,"Streptomyces scabiei",680198,87.22,"strain","gene deletion: full",,,4097,"Nicotiana tabacum",,,"none",,"PHIPO:0000004; PHIPO:0000051",,"BTO:0001228","gene complementation","interspecies interaction",23009676,"Unaffected pathogenicity"
"PHI:2708","C9Z5Q3",,1930,"Streptomyces scabiei",680198,87.22,"strain","gene deletion: full",,,4097,"Nicotiana tabacum",,,"none",,"PHIPO:0000004; PHIPO:0000059",,"BTO:0001228","gene complementation","interspecies interaction",23009676,"Unaffected pathogenicity"
"PHI:2705","C9Z5Q5",,1930,"Streptomyces scabiei",680198,87.22,"strain","gene deletion: full",,,3726,"Raphanus sativus",,,"none",,"PHIPO:0000004; PHIPO:0000052",,"BTO:0001400","gene complementation","interspecies interaction",23009676,"Unaffected pathogenicity"
"PHI:2706","C9Z5Q6",,1930,"Streptomyces scabiei",680198,87.22,"strain","gene deletion: full",,,3726,"Raphanus sativus",,,"none",,"PHIPO:0000004; PHIPO:0000052",,"BTO:0001400","gene complementation","interspecies interaction",23009676,"Unaffected pathogenicity"
"PHI:2707","C9Z5Q1",,1930,"Streptomyces scabiei",680198,87.22,"strain","gene deletion: full",,,3726,"Raphanus sativus",,,"none",,"PHIPO:0000004; PHIPO:0000051",,"BTO:0001400","gene complementation","interspecies interaction",23009676,"Unaffected pathogenicity"
"PHI:2708","C9Z5Q3",,1930,"Streptomyces scabiei",680198,87.22,"strain","gene deletion: full",,,3726,"Raphanus sativus",,,"none",,"PHIPO:0000004; PHIPO:0000059",,"BTO:0001400","gene complementation","interspecies interaction",23009676,"Unaffected pathogenicity"
"PHI:2710","H8ZZ79",,474922,"Colletotrichum gloeosporioides",1237896,"Cg-14","none","gene deletion: full",,,3435,"Persea americana",,"cv. Fuerte","none",,"PHIPO:0000015; PHIPO:0000030; PHIPO:0000956","PHIDO:0000013","BTO:0000486","gene complementation","interspecies interaction",23387470,"Reduced virulence"
"PHI:2711","G2X3W4",,27337,"Verticillium dahliae",1202531,"JR2","none","gene deletion: full",,,4081,"Solanum lycopersicum",,"cv. Moneymaker","none",,"PHIPO:0000015; PHIPO:0000956; PHIPO:0000052","PHIDO:0000381","BTO:0001228","gene complementation","interspecies interaction",23051172,"Reduced virulence"
"PHI:2712","G2WWK9",,27337,"Verticillium dahliae",1202531,"JR2","none","gene deletion: full",,,4081,"Solanum lycopersicum",,"cv. Moneymaker","none",,"PHIPO:0000015; PHIPO:0000956; PHIPO:0000059","PHIDO:0000381","BTO:0001228","gene complementation","interspecies interaction",23051172,"Reduced virulence"
"PHI:2711","G2X3W4",,27337,"Verticillium dahliae",1202531,"JR2","none","gene deletion: full",,,3702,"Arabidopsis thaliana",,"ecotype Columbia-0","none",,"PHIPO:0000015; PHIPO:0000956; PHIPO:0000052","PHIDO:0000381","BTO:0001228","gene complementation","interspecies interaction",23051172,"Reduced virulence"
"PHI:2712","G2WWK9",,27337,"Verticillium dahliae",1202531,"JR2","none","gene deletion: full",,,3702,"Arabidopsis thaliana",,"ecotype Columbia-0","none",,"PHIPO:0000015; PHIPO:0000956; PHIPO:0000059","PHIDO:0000381","BTO:0001228","gene complementation","interspecies interaction",23051172,"Reduced virulence"
"PHI:2711","G2X3W4",,27337,"Verticillium dahliae",1202531,"JR2","none","gene deletion: full",,,4100,"Nicotiana benthamiana",,,"none",,"PHIPO:0000015; PHIPO:0000956; PHIPO:0000052","PHIDO:0000381","BTO:0001228","gene complementation","interspecies interaction",23051172,"Reduced virulence"
"PHI:2712","G2WWK9",,27337,"Verticillium dahliae",1202531,"JR2","none","gene deletion: full",,,4100,"Nicotiana benthamiana",,,"none",,"PHIPO:0000015; PHIPO:0000956; PHIPO:0000059","PHIDO:0000381","BTO:0001228","gene complementation","interspecies interaction",23051172,"Reduced virulence"
"PHI:2713","E1AYJ2",,53413,"Xanthomonas axonopodis",1189617,"pv. manihotis strain CFBP1851","none","gene mutation: characterised",,,3983,"Manihot esculenta",,"cv. HMC-1","none",,"PHIPO:0000280","PHIDO:0000074","BTO:0000713","gene complementation","interspecies interaction",22947214,"Effector"
"PHI:2714","I1RC71",,5518,"Fusarium graminearum",,"Z-3639","none","gene deletion: full",,,4565,"Triticum aestivum",,"cv. Eunpamil","none",,"PHIPO:0000015; PHIPO:0000050","PHIDO:0000163","BTO:0002119","gene complementation","interspecies interaction",22913493,"Reduced virulence"
"PHI:2715","A0A098DMW0",,5518,"Fusarium graminearum",,"Z-3639","none","gene deletion: full",,,4565,"Triticum aestivum",,"cv. Eunpamil","none",,"PHIPO:0000015; PHIPO:0000050","PHIDO:0000163","BTO:0002119","gene complementation","interspecies interaction",22913493,"Reduced virulence"
"PHI:2716","A0A0E0SHK9",,5518,"Fusarium graminearum",,"Z-3639","none","gene deletion: full",,,4565,"Triticum aestivum",,"cv. Eunpamil","none",,"PHIPO:0000004; PHIPO:0000057","PHIDO:0000163","BTO:0002119","gene complementation","interspecies interaction",22913493,"Unaffected pathogenicity"
"PHI:2717","Q9FDG1",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","strain",,,,4530,"Oryza sativa",,"Azucena landrace","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2718","B2SU53",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"Azucena landrace","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2719","G1FM79",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","strain",,,,4530,"Oryza sativa",,"Azucena landrace","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2720","G7T9N6",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"Azucena landrace","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2721","G7TK09",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"Azucena landrace","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2722","G7TJZ8",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"Azucena landrace","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2717","Q9FDG1",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","strain",,,,4530,"Oryza sativa",,"cv. Nipponbare","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2718","B2SU53",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Nipponbare","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2719","G1FM79",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","strain",,,,4530,"Oryza sativa",,"cv. Nipponbare","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2720","G7T9N6",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Nipponbare","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2721","G7TK09",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Nipponbare","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2722","G7TJZ8",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Nipponbare","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2717","Q9FDG1",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","strain",,,,4530,"Oryza sativa",,"cv. Tainung 67","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2718","B2SU53",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Tainung 67","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2719","G1FM79",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","strain",,,,4530,"Oryza sativa",,"cv. Tainung 67","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2720","G7T9N6",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Tainung 67","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2721","G7TK09",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Tainung 67","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2722","G7TJZ8",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Tainung 67","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2717","Q9FDG1",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","strain",,,,4530,"Oryza sativa",,"cv. Lijiangxintuanheigu","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2718","B2SU53",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Lijiangxintuanheigu","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2719","G1FM79",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","strain",,,,4530,"Oryza sativa",,"cv. Lijiangxintuanheigu","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2720","G7T9N6",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Lijiangxintuanheigu","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2721","G7TK09",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Lijiangxintuanheigu","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2722","G7TJZ8",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Lijiangxintuanheigu","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2717","Q9FDG1",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","strain",,,,4530,"Oryza sativa",,"cv. Dom Sufid","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2718","B2SU53",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Dom Sufid","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2719","G1FM79",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","strain",,,,4530,"Oryza sativa",,"cv. Dom Sufid","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2720","G7T9N6",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Dom Sufid","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2721","G7TK09",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Dom Sufid","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2722","G7TJZ8",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Dom Sufid","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2717","Q9FDG1",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","strain",,,,4530,"Oryza sativa",,"cv. M-202","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2718","B2SU53",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. M-202","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2719","G1FM79",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","strain",,,,4530,"Oryza sativa",,"cv. M-202","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2720","G7T9N6",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. M-202","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2721","G7TK09",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. M-202","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2722","G7TJZ8",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. M-202","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2717","Q9FDG1",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","strain",,,,4530,"Oryza sativa",,"cv. Moroberecan","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2718","B2SU53",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Moroberecan","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2719","G1FM79",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","strain",,,,4530,"Oryza sativa",,"cv. Moroberecan","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2720","G7T9N6",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Moroberecan","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2721","G7TK09",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Moroberecan","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2722","G7TJZ8",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Moroberecan","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2717","Q9FDG1",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","strain",,,,4530,"Oryza sativa",,"cv. Cypress","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2718","B2SU53",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Cypress","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2719","G1FM79",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","strain",,,,4530,"Oryza sativa",,"cv. Cypress","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2720","G7T9N6",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Cypress","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2721","G7TK09",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Cypress","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
"PHI:2722","G7TJZ8",,347,"Xanthomonas oryzae",64187,"pv. oryzae strain X11-5A","none",,,,4530,"Oryza sativa",,"cv. Cypress","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713","functional test in host: transient expression","interspecies interaction",23078195,"Effector"
